state;sig_url
AL;https://justfacts.votesmart.org/interest-group/369/eagle-forum-of-alabama
AL;https://justfacts.votesmart.org/interest-group/2586/business-council-of-alabama
AL;https://justfacts.votesmart.org/interest-group/3024/south-alabama-common-sense-campaign-tea-party
AL;https://justfacts.votesmart.org/interest-group/2201/conservative-christians-of-alabama
AL;https://justfacts.votesmart.org/interest-group/608/national-federation-of-independent-business-alabama
AL;https://justfacts.votesmart.org/interest-group/2587/alabama-grocers-association
AL;https://justfacts.votesmart.org/interest-group/1454/alabama-state-employees-association
AL;https://justfacts.votesmart.org/interest-group/2588/home-builders-of-association-of-alabama
AL;https://justfacts.votesmart.org/interest-group/2952/professional-fire-fighters-of-alabama
AL;https://justfacts.votesmart.org/interest-group/1557/national-rifle-association-political-victory-fund
AL;https://justfacts.votesmart.org/interest-group/1991/league-of-southeastern-credit-unions
AL;https://justfacts.votesmart.org/interest-group/2593/alabama-retail-association
AK;https://justfacts.votesmart.org/interest-group/213/national-education-association-alaska
AK;https://justfacts.votesmart.org/interest-group/689/alaska-state-chamber-of-commerce
AK;https://justfacts.votesmart.org/interest-group/2160/associated-builders-and-contractors-of-alaska
AK;https://justfacts.votesmart.org/interest-group/1162/alaska-outdoor-council-pac
AK;https://justfacts.votesmart.org/interest-group/2095/alaska-support-industry-alliance
AK;https://justfacts.votesmart.org/interest-group/2807/the-alaska-center
AK;https://justfacts.votesmart.org/interest-group/2868/the-alaska-fathers-rights-movement
AK;https://justfacts.votesmart.org/interest-group/2998/anchorage-education-association
AK;https://justfacts.votesmart.org/interest-group/1990/prosperity-alaska
AK;https://justfacts.votesmart.org/interest-group/2467/planned-parenthood-votes-northwest-and-hawaii
AK;https://justfacts.votesmart.org/interest-group/2096/resource-development-council-for-alaska
AK;https://justfacts.votesmart.org/interest-group/356/national-federation-of-independent-business-alaska
AK;https://justfacts.votesmart.org/interest-group/1388/alaska-public-employees-association-alaska-federation-of-teachers
AK;https://justfacts.votesmart.org/interest-group/2825/alaska-professional-fire-fighters-association
AZ;https://justfacts.votesmart.org/interest-group/91/naralarizona-right-to-choose
AZ;https://justfacts.votesmart.org/interest-group/1054/arizona-chamber-of-commerce-and-industry
AZ;https://justfacts.votesmart.org/interest-group/279/arizona-disability-advocacy-coalition
AZ;https://justfacts.votesmart.org/interest-group/3089/az-youth-climate-coalition
AZ;https://justfacts.votesmart.org/interest-group/1433/center-for-arizona-policy
AZ;https://justfacts.votesmart.org/interest-group/123/arizona-education-association
AZ;https://justfacts.votesmart.org/interest-group/1252/arizona-nurses-association
AZ;https://justfacts.votesmart.org/interest-group/1423/arizona-police-association
AZ;https://justfacts.votesmart.org/interest-group/2078/arizona-small-business-association
AZ;https://justfacts.votesmart.org/interest-group/1085/helping-arizona-limit-tragedy-halt
AZ;https://justfacts.votesmart.org/interest-group/2367/stonewall-democrats-of-arizona
AZ;https://justfacts.votesmart.org/interest-group/259/arizona-contractors-association
AZ;https://justfacts.votesmart.org/interest-group/2351/associated-general-contractors
AZ;https://justfacts.votesmart.org/interest-group/768/arizona-state-afl-cio
AZ;https://justfacts.votesmart.org/interest-group/3046/arizona-medical-political-action-committee
AZ;https://justfacts.votesmart.org/interest-group/2870/childrens-action-alliance
AZ;https://justfacts.votesmart.org/interest-group/1091/equality-arizona
AZ;https://justfacts.votesmart.org/interest-group/150/planned-parenthood-advocates-of-arizona
AZ;https://justfacts.votesmart.org/interest-group/2088/arizona-economic-development-practitioners
AZ;https://justfacts.votesmart.org/interest-group/2/national-federation-of-independent-business-arizona
AZ;https://justfacts.votesmart.org/interest-group/2944/unite-here-local-11-arizona
AZ;https://justfacts.votesmart.org/interest-group/155/sierra-club-grand-canyon-chapter
AZ;https://justfacts.votesmart.org/interest-group/2205/arizona-womens-political-caucus
AZ;https://justfacts.votesmart.org/interest-group/2869/tucson-metro-chamber
AZ;https://justfacts.votesmart.org/interest-group/1597/national-rifle-association-political-victory-fund
AZ;https://justfacts.votesmart.org/interest-group/1994/arizona-hospital-and-healthcare-association
AZ;https://justfacts.votesmart.org/interest-group/2206/arizona-list
AZ;https://justfacts.votesmart.org/interest-group/519/united-for-arizona
AZ;https://justfacts.votesmart.org/interest-group/713/arizona-state-rifle-and-pistol-association
AR;https://justfacts.votesmart.org/interest-group/2456/planned-parenthood-voters-of-arkansas
AR;https://justfacts.votesmart.org/interest-group/836/arkansas-rifle-and-pistol-association
AR;https://justfacts.votesmart.org/interest-group/1244/national-federation-of-independent-business-arkansas
AR;https://justfacts.votesmart.org/interest-group/2871/family-council
AR;https://justfacts.votesmart.org/interest-group/2857/arkansas-state-employees-association
AR;https://justfacts.votesmart.org/interest-group/2575/conduit-for-commerce
AR;https://justfacts.votesmart.org/interest-group/1140/arkansas-afl-cio
AR;https://justfacts.votesmart.org/interest-group/106/arkansas-citizens-first-congress
AR;https://justfacts.votesmart.org/interest-group/2209/conservative-arkansas
AR;https://justfacts.votesmart.org/interest-group/274/american-family-association-of-arkansas
AR;https://justfacts.votesmart.org/interest-group/298/national-rifle-association-political-victory-fund
CA;https://justfacts.votesmart.org/interest-group/2527/california-environmental-justice-alliance
CA;https://justfacts.votesmart.org/interest-group/1594/california-labor-federation
CA;https://justfacts.votesmart.org/interest-group/2212/honor-pac
CA;https://justfacts.votesmart.org/interest-group/220/california-farm-bureau-federation
CA;https://justfacts.votesmart.org/interest-group/3257/california-young-democrats
CA;https://justfacts.votesmart.org/interest-group/1979/professional-engineers-in-california-government
CA;https://justfacts.votesmart.org/interest-group/691/national-tax-limitation-committee
CA;https://justfacts.votesmart.org/interest-group/1923/california-federation-of-teachers
CA;https://justfacts.votesmart.org/interest-group/589/california-communities-united-institute
CA;https://justfacts.votesmart.org/interest-group/2491/national-union-of-healthcare-workers
CA;https://justfacts.votesmart.org/interest-group/2632/democrats-for-neighborhood-action
CA;https://justfacts.votesmart.org/interest-group/2993/national-womens-political-caucus-california
CA;https://justfacts.votesmart.org/interest-group/3256/association-for-los-angeles-deputy-sheriffs-alads
CA;https://justfacts.votesmart.org/interest-group/2083/republican-liberty-caucus-of-california
CA;https://justfacts.votesmart.org/interest-group/2268/california-teachers-association
CA;https://justfacts.votesmart.org/interest-group/1004/naral-pro-choice-california
CA;https://justfacts.votesmart.org/interest-group/2943/unite-here-local-11-california
